阿勒泰,AAT
阿克苏,AKU
安庆,AQG
包头,BAV
北海,BHY
北京,BJS
保山,BSD
广州,CAN
常德,CGD
郑州,CGO
长春,CGQ
赤峰,CIF
长治,CIH
重庆,CKG
长沙,CSX
成都,CTU
常州,CZX
大同,DAT
达县,DAX
丹东,DDG
迪庆,DIG
大连,DLC
大理,DLU
大庆,DQA
鄂尔多斯,DSN
张家界,DYG
恩施,ENH
福州,FOC
阜阳,FUG
广元,GYS
海口,HAK
邯郸,HDG
黑河,HEK
呼和浩特,HET
合肥,HFE
杭州,HGH
怀化,HJJ
海拉尔,HLD
哈密,HMI
哈尔滨,HRB
舟山,HSN
和田,HTN
台州,HYN
贺州,HZH
银川,INC
且末,IQM
景德镇,JDZ
井冈山,JGS
景洪,JHG
晋江,JJN
佳木斯,JMU
济宁,JNG
衢州,JUZ
九寨沟,JZH
库车,KCA
喀什,KHG
南昌,KHN
昆明,KMG
赣州,KOW
库尔勒,KRL
克拉玛依,KRY
贵阳,KWE
桂林,KWL
伊春,LDS
兰州,LHW
丽江,LJG
永州,LLF
德宏,LUM
拉萨,LXA
洛阳,LYA
连云港,LYG
临沂,LYI
柳州,LZH
泸州,LZO
牡丹江,MDG
绵阳,MIG
梅县,MXZ
南充,NAO
 长白山,NBS
齐齐哈尔,NDG
宁波,NGB
南京,NKG
南宁,NNG
南阳,NNY
南通,NTG
满洲里,NZH
漠河,OHE
攀枝花,PZI
上海,SHA
沈阳,SHE
西安,SIA
石家庄,SJW
汕头,SWA
思茅,SYM
三亚,SYX
深圳,SZX
青岛,TAO
 腾冲,TCZ
铜仁,TEN
通辽,TGO
济南,TNA
天津,TSN
黄山,TXN
太原,TYN
乌鲁木齐,URC
榆林,UYN
威海,WEH
温州,WNZ
武汉,WUH
武夷山,WUS
无锡,WUX
梧州,WUZ
万州,WXN
襄樊,XFN
西昌,XIC
锡林浩特,XIL
厦门,XMN
西宁,XNN
徐州,XUZ
宜宾,YBP
 运城,YCU
宜昌,YIH
伊宁,YIN
义乌,YIW
延吉,YNJ
烟台,YNT
盐城,YNZ
湛江,ZHA
珠海,ZUH
