安庆,AQG,117.03,30.52
阜阳,FUG,115.81,32.89
合肥,HFE,117.27,31.86
北京,BJS,116.46,39.92
福州,FOC,119.3,26.08
晋江,JJN,118.57,24.82
厦门,XMN,118.1,24.46
兰州,LHW,103.73,36.03
广州,CAN,113.23,23.16
海口,HAK,110.35,20.02
梅县,MXZ,116.1,24.55
汕头,SWA,116.69,23.39
深圳,SZX,114.07,22.62
珠海,ZUH,113.52,22.3
北海,BHY,109.12,21.49
桂林,KWL,110.28,25.29
柳州,LZH,109.4,24.33
梧州,WUZ,111.34,23.51
贵阳,KWE,106.71,26.57
铜仁,TEN,109.21,27.73
邯郸,HDG,114.47,36.6
石家庄,SJW,114.48,38.03
洛阳,LYA,112.44,34.7
南阳,NNY,112.53,33.01
郑州,CGO,113.65,34.76
大庆,DQA,125.03,46.58
哈尔滨,HRB,126.63,45.75
黑河,HEK,127.53,50.22
佳木斯,JMU,130.35,46.83
漠河,OHE,122.37,53.48
牡丹江,MDG,129.58,44.6
齐齐哈尔,NDG,123.97,47.33
伊春,LDS,128.92,47.73
武汉,WUH,114.31,30.52
襄樊,XFN,112.14,30.02
宜昌,YIH,111.3,30.7
常德,CGD,111.69,29.05
怀化,HJJ,109.95,27.52
永州,LLF,111.63,26.22
长沙,CSX,113,28.21
延吉,YNJ,129.52,42.93
长春,CGQ,125.35,43.88
常州,CZX,119.95,31.79
连云港,LYG,119.16,34.59
南京,NKG,118.78,32.04
无锡,WUX,120.29,31.59
徐州,XUZ,117.2,34.26
盐城,YNZ,120.13,33.38
赣州,KOW,114.92,25.85
井冈山,JGS,114.17,26.57
景德镇,JDZ,117.22,29.3
大连,DLC,121.62,38.92
丹东,DDG,124.37,40.13
沈阳,SHE,123.38,41.8
包头,BAV,110,40.58
赤峰,CIF,118.87,42.28
海拉尔,HLD,119.73,29.22
呼和浩特,HET,111.65,40.82
满洲里,NZH,117.47,49.58
银川,INC,106.27,38.47
济南,TNA,117,36.65
济宁,JNG,116.59,35.38
临沂,LYI,118.35,35.05
青岛,TAO,120.33,36.07
威海,WEH,122.1,37.5
烟台,YNT,121.39,37.52
西安,SIA,112.2,36.15
大同,DAT,113.3,40.12
西宁,XNN,112.28,39
太原,TYN,112.53,37.87
长治,CIH,113.08,36.18
榆林,UYN,109.77,38.3
上海,SHA,121.48,31.22
成都,CTU,104.06,30.67
达县,DAX,107.49,31.23
泸州,LZO,105.39,28.91
绵阳,MIG,104.73,31.48
西昌,XIC,102.29,27.92
宜宾,YBP,104.56,29.77
天津,TSN,117.2,39.13
拉萨,LXA,91.11,29.97
阿克苏,AKU,80.29,41.15
阿勒泰,AAT,88.14,47.86
哈密,HMI,93.44,42.78
和田,HTN,79.94,37.12
克拉玛依,KRY,84.77,45.59
库车,KCA,82.97,41.68
库尔勒,KRL,86.06,41.68
乌鲁木齐,URC,87.68,43.77
伊宁,YIN,81.33,43.91
南昌,KHN,99.61,24.82
大理,DLU,100.19,25.69
昆明,KMG,102.73,25.04
丽江,LJG,100.25,26.86
南宁,NNG,100.82,27.29
思茅,SYM,101,22.79
南通,NTG,102.75,24.09
杭州,HGH,120.19,30.26
宁波,NGB,121.56,29.86
衢州,JUZ,118.88,28.97
温州,WNZ,120.65,28.01
义乌,YIW,120.06,29.32
重庆,CKG,106.54,29.59
保山,BSD,99.16,25.11
迪庆,DIG,99.7,27.81
鄂尔多斯,DSN,109.78,39.61
张家界,DYG,110.48,29.12
恩施,ENH,109.48817,30.27217
广元,GYS,105.84357,32.43549
舟山,HSN,122.20778,29.98539
台州,HYN,121.42056,28.65611
贺州,HZH,111.56655,24.40346
且末,IQM,85.52847,38.13325
景洪,JHG,100.77163,22.00008
九寨沟,JZH,103.9267,33.18523
喀什,KHG,75.98976,39.47042
德宏,LUM,98.58486,24.43232
南充,NAO,106.11073,30.83731
 长白山,NBS,128.07378,42.0222
攀枝花,PZI,101.71872,26.58228
三亚,SYX,109.51209,18.25248
 腾冲,TCZ,98.49097,25.02053
通辽,TGO,122.24469,43.65247
黄山,TXN,118.17494,30.12959
武夷山,WUS,117.97946,27.62676
万州,WXN,108.36717,30.81464
锡林浩特,XIL,116.08608,43.93339
 运城,YCU,111.00699,35.02628
湛江,ZHA,110.35894,21.27134
